artist,album,track,genre,release_year,duration_ms,popularity,song_age,popularity_per_year
Bad Bunny,DeBÍ TiRAR MáS FOToS,DtMF,reggaeton,2025,237117,98,1,49
Olivia Dean,Man I Need,Man I Need,pop soul,2025,184000,97,1,48.5
Fuerza Regida,MALA MÍA,COQUETA,corrido,2024,241648,90,2,30
Prince Royce,Prince Royce,Rechazame,bachata,2010,223200,79,16,4.647058824
KAROL G,Tropicoqueta,Si Antes Te Hubiera Conocido,reggaeton,2025,195824,86,1,43
Taylor Swift,The Life of a Showgirl,Opalite,unknown,2025,235355,92,1,46
Olivia Dean,The Art of Loving,So Easy (To Fall In Love),pop soul,2025,169000,97,1,48.5
Halsey,hopeless fountain kingdom (Deluxe Plus),Bad At Love,unknown,2017,181279,83,9,8.3
Princesa Alba,Convéncete,Convéncete,chilean trap,2019,216263,71,7,8.875
Bad Bunny,DeBÍ TiRAR MáS FOToS,NUEVAYoL,reggaeton,2025,183685,96,1,48
Addison Rae,Addison,Diet Pepsi,unknown,2025,169697,81,1,40.5
sombr,I Barely Know Her,back to friends,unknown,2025,199032,93,1,46.5
Taylor Swift,The Life of a Showgirl,The Fate of Ophelia,unknown,2025,226073,96,1,48
Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,reggaeton,2022,243716,94,4,18.8
Alex Warren,"You'll Be Alright, Kid (Chapter 1)",Ordinary,unknown,2024,186964,92,2,30.66666667
Bad Bunny,DeBÍ TiRAR MáS FOToS,BAILE INoLVIDABLE,reggaeton,2025,367725,96,1,48
Bad Bunny,DeBÍ TiRAR MáS FOToS,EoO,reggaeton,2025,204768,94,1,47
Justin Bieber,SWAG,DAISIES,unknown,2025,176453,93,1,46.5
Ravyn Lenae,Bird's Eye,Love Me Not,alternative r&b,2024,213466,91,2,30.33333333
Justin Bieber,Believe,Beauty And A Beat,unknown,2012,227986,91,14,6.066666667
sombr,I Barely Know Her,undressed,unknown,2025,182088,89,1,44.5
The Marías,Submarine,No One Noticed,bedroom pop,2024,236906,90,2,30
Natasha Bedingfield,Unwritten,Unwritten,unknown,2004,259333,89,22,3.869565217
Justin Bieber,My World 2.0,Baby,unknown,2010,214240,91,16,5.352941176
Zara Larsson,So Good,Lush Life,unknown,2017,200646,95,9,9.5
Lana Del Rey,Young And Beautiful,Young And Beautiful,unknown,2013,236053,89,13,6.357142857
Justin Bieber,Purpose (Deluxe),Sorry,unknown,2015,200786,91,11,7.583333333
Katy Perry,Teenage Dream,Last Friday Night (T.G.I.F.),pop,2010,230733,80,16,4.705882353
Billie Eilish,Ocean Eyes,ocean eyes,unknown,2016,200560,85,10,7.727272727
Gracie Abrams,The Secret of Us (Deluxe),That’s So True,unknown,2024,166300,91,2,30.33333333
Ariana Grande,eternal sunshine,we can't be friends (wait for your love),pop,2024,228639,87,2,29
Addison Rae,Diet Pepsi,Diet Pepsi,unknown,2024,169697,77,2,25.66666667
Martinwhite,AY BONITA,AY BONITA,guaracha,2025,142153,67,1,33.5
Austin Mahone,The Secret EP,All I Ever Need,unknown,2014,213746,71,12,5.461538462
Bad Bunny,Un Verano Sin Ti,Ojitos Lindos,reggaeton,2022,258298,87,4,17.4
Camilo,Por Primera Vez,Tutu,colombian pop,2020,179339,68,6,9.714285714
J Balvin,Colores,Azul,reggaeton,2020,205933,79,6,11.28571429
FloyyMenor,EL COMIENZO,Gata Only,reggaeton chileno,2024,222000,80,2,26.66666667
Ozuna,Odisea,Se Preparó,reggaeton,2017,188080,84,9,8.4
Shakira,El Dorado,Chantaje (feat. Maluma),latin pop,2017,195840,85,9,8.5
Charli xcx,how i'm feeling now,party 4 u,hyperpop,2020,296653,85,6,12.14285714
Prince Royce,Prince Royce,Corazón Sin Cara,bachata,2010,211453,78,16,4.588235294
Gracie Abrams,The Secret of Us,"I Love You, I'm Sorry",unknown,2024,157146,87,2,29
